municipality,municipality code,year,gender,age,ethnicity,education,income,income observations,days in hospital,days in hospital observations,number of hospitalizations,number of hospitalizations observations
Denmark,0,2005,Men,60-65,Non-western immigrants and descendants,No higher education,166067.689,1814.0,1.324,1170.0,0.381,3684.0
Denmark,0,2005,Women,18-29,Danish,Higher education,,,0.357,43149.0,0.112,43149.0
Denmark,0,2005,Women,18-29,Danish,No higher education,,,0.413,272456.0,0.129,272456.0
Denmark,0,2005,Women,18-29,Immigrants and descendants,Higher education,,,0.258,3207.0,0.096,3207.0
Denmark,0,2005,Women,18-29,Immigrants and descendants,No higher education,,,0.431,27150.0,0.15,27150.0
Denmark,0,2005,Women,18-29,Non-western immigrants and descendants,Higher education,,,0.327,1713.0,0.109,1713.0
Denmark,0,2005,Women,18-29,Non-western immigrants and descendants,No higher education,,,0.457,22754.0,0.159,22754.0
Denmark,0,2005,Women,30-39,Danish,Higher education,258591.274,128632.0,0.437,132068.0,0.13,132068.0
Denmark,0,2005,Women,30-39,Danish,No higher education,214436.861,204694.0,0.597,211973.0,0.162,211973.0
Denmark,0,2005,Women,30-39,Immigrants and descendants,Higher education,171803.367,16858.0,0.457,7469.0,0.134,7469.0
Denmark,0,2005,Women,30-39,Immigrants and descendants,No higher education,231962.176,6988.0,0.572,17248.0,0.167,17248.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,Higher education,205412.641,3557.0,0.449,3726.0,0.142,3726.0
Denmark,0,2005,Women,30-39,Non-western immigrants and descendants,No higher education,162464.718,13646.0,0.598,13781.0,0.175,13781.0
Denmark,0,2005,Women,40-49,Danish,Higher education,281782.298,109987.0,0.435,114013.0,0.109,114013.0
Denmark,0,2005,Women,40-49,Danish,No higher education,241038.505,226328.0,0.669,235226.0,0.149,235226.0
Denmark,0,2005,Women,40-49,Immigrants and descendants,Higher education,244808.987,6165.0,0.464,6551.0,0.118,6551.0
Denmark,0,2005,Women,40-49,Immigrants and descendants,No higher education,192069.613,12421.0,0.647,12768.0,0.16,12768.0
Denmark,0,2005,Women,40-49,Non-western immigrants and descendants,Higher education,275848.649,235061.0,0.546,3098.0,0.127,3098.0
Denmark,0,2005,Women,40-49,Non-western immigrants and descendants,No higher education,177170.313,8820.0,0.681,8924.0,0.171,8924.0
Denmark,0,2005,Women,50-59,Danish,Higher education,225185.438,8274.0,0.687,100036.0,0.135,100036.0
Denmark,0,2005,Women,50-59,Danish,No higher education,342910.063,95720.0,0.973,244355.0,0.184,244355.0
Denmark,0,2005,Women,50-59,Immigrants and descendants,Higher education,187675.344,4017.0,0.651,5227.0,0.141,5227.0
Denmark,0,2005,Women,50-59,Immigrants and descendants,No higher education,294184.353,4867.0,0.976,8519.0,0.178,8519.0
Denmark,0,2005,Women,50-59,Non-western immigrants and descendants,Higher education,210960.432,2963.0,0.662,1549.0,0.156,1549.0
Denmark,0,2005,Women,50-59,Non-western immigrants and descendants,No higher education,234209.384,1466.0,0.951,4036.0,0.181,4036.0
Denmark,0,2005,Women,60-65,Danish,Higher education,334550.417,33748.0,1.768,76605.0,0.258,76605.0
Denmark,0,2005,Women,60-65,Danish,No higher education,235229.626,148660.0,2.504,477136.0,0.348,477136.0
Denmark,0,2005,Women,60-65,Immigrants and descendants,Higher education,320770.207,1931.0,1.707,4467.0,0.26,4467.0
Denmark,0,2005,Women,60-65,Immigrants and descendants,No higher education,222586.191,3686.0,2.549,12040.0,0.353,12040.0
Denmark,0,2005,Women,60-65,Non-western immigrants and descendants,Higher education,246216.119,387.0,1.756,739.0,0.279,739.0
Denmark,0,2005,Women,60-65,Non-western immigrants and descendants,No higher education,172294.71,1066.0,2.191,2009.0,0.306,2009.0
Denmark,0,2006,Men,18-29,Danish,Higher education,,,0.169,29811.0,0.047,29811.0
Denmark,0,2006,Men,18-29,Danish,No higher education,,,0.277,293386.0,0.079,293386.0
Denmark,0,2006,Men,18-29,Immigrants and descendants,Higher education,,,0.088,2260.0,0.039,2260.0
Denmark,0,2006,Men,18-29,Immigrants and descendants,No higher education,,,0.292,26998.0,0.084,26998.0
Denmark,0,2006,Men,18-29,Non-western immigrants and descendants,Higher education,,,0.109,1326.0,0.049,1326.0
Denmark,0,2006,Men,18-29,Non-western immigrants and descendants,No higher education,,,0.308,23294.0,0.088,23294.0
Denmark,0,2006,Men,30-39,Danish,Higher education,273398.662,99161.0,0.218,104231.0,0.059,104231.0
Denmark,0,2006,Men,30-39,Danish,No higher education,220323.511,218577.0,0.392,238186.0,0.098,238186.0
Denmark,0,2006,Men,30-39,Immigrants and descendants,Higher education,223235.005,5839.0,0.173,6465.0,0.056,6465.0
Denmark,0,2006,Men,30-39,Immigrants and descendants,No higher education,172551.627,14440.0,0.315,16149.0,0.092,16149.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,Higher education,196115.253,3183.0,0.228,3475.0,0.069,3475.0
Denmark,0,2006,Men,30-39,Non-western immigrants and descendants,No higher education,163824.878,11458.0,0.33,12775.0,0.096,12775.0
Denmark,0,2006,Men,40-49,Danish,Higher education,309001.572,85225.0,0.321,91234.0,0.077,91234.0
Denmark,0,2006,Men,40-49,Danish,No higher education,239398.328,240779.0,0.597,267076.0,0.131,267076.0
Denmark,0,2006,Men,40-49,Immigrants and descendants,Higher education,231890.728,6974.0,0.349,7733.0,0.092,7733.0
Denmark,0,2006,Men,40-49,Immigrants and descendants,No higher education,184556.494,11989.0,0.488,13408.0,0.126,13408.0
Denmark,0,2006,Men,40-49,Non-western immigrants and descendants,Higher education,196393.944,4243.0,0.45,4674.0,0.11,4674.0
Denmark,0,2006,Men,40-49,Non-western immigrants and descendants,No higher education,167388.944,8819.0,0.482,9775.0,0.13,9775.0
Denmark,0,2006,Men,50-59,Danish,Higher education,362970.206,77729.0,0.699,84987.0,0.139,84987.0
Denmark,0,2006,Men,50-59,Danish,No higher education,272197.919,229062.0,1.078,255022.0,0.204,255022.0
Denmark,0,2006,Men,50-59,Immigrants and descendants,Higher education,277187.783,4791.0,0.774,5317.0,0.15,5317.0
Denmark,0,2006,Men,50-59,Immigrants and descendants,No higher education,212932.908,8148.0,1.044,8939.0,0.214,8939.0
Denmark,0,2006,Men,50-59,Non-western immigrants and descendants,Higher education,213285.406,2145.0,0.774,2314.0,0.159,2314.0
Denmark,0,2006,Men,50-59,Non-western immigrants and descendants,No higher education,179133.472,4601.0,1.021,4966.0,0.218,4966.0
Denmark,0,2006,Men,60-65,Danish,Higher education,370135.946,40221.0,2.038,97158.0,0.335,97158.0
Denmark,0,2006,Men,60-65,Danish,No higher education,255465.362,136180.0,2.753,408646.0,0.426,408646.0
Denmark,0,2006,Men,60-65,Immigrants and descendants,Higher education,292389.417,2179.0,1.762,4692.0,0.308,4692.0
Denmark,0,2006,Men,60-65,Immigrants and descendants,No higher education,211567.783,4257.0,2.458,9528.0,0.392,9528.0
Denmark,0,2006,Men,60-65,Non-western immigrants and descendants,Higher education,221766.902,746.0,1.193,1291.0,0.24,1291.0
Denmark,0,2006,Men,60-65,Non-western immigrants and descendants,Higher education,221766.902,746.0,2.228,3979.0,0.24,1291.0
Denmark,0,2006,Men,60-65,Non-western immigrants and descendants,No higher education,170594.283,1937.0,2.228,3979.0,0.376,3979.0
Denmark,0,2006,Men,60-65,Non-western immigrants and descendants,No higher education,170594.283,1937.0,1.193,1291.0,0.376,3979.0
Denmark,0,2006,Women,18-29,Danish,Higher education,,,0.364,43953.0,0.115,43953.0
Denmark,0,2006,Women,18-29,Danish,No higher education,,,0.414,268370.0,0.136,268370.0
Denmark,0,2006,Women,18-29,Immigrants and descendants,Higher education,,,0.252,3652.0,0.091,3652.0
Denmark,0,2006,Women,18-29,Immigrants and descendants,No higher education,,,0.439,27959.0,0.15,27959.0
Denmark,0,2006,Women,18-29,Non-western immigrants and descendants,Higher education,,,0.295,1983.0,0.098,1983.0
Denmark,0,2006,Women,18-29,Non-western immigrants and descendants,No higher education,,,0.471,23444.0,0.159,23444.0
Denmark,0,2006,Women,30-39,Danish,Higher education,260941.271,131368.0,0.42,134792.0,0.135,134792.0
Denmark,0,2006,Women,30-39,Danish,No higher education,216349.047,191901.0,0.595,199069.0,0.167,199069.0
Denmark,0,2006,Women,30-39,Immigrants and descendants,Higher education,176900.715,17404.0,0.356,8008.0,0.125,8008.0
Denmark,0,2006,Women,30-39,Immigrants and descendants,No higher education,234780.985,7518.0,0.562,17748.0,0.17,17748.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,Higher education,211081.313,3874.0,0.374,4038.0,0.127,4038.0
Denmark,0,2006,Women,30-39,Non-western immigrants and descendants,No higher education,168059.035,14151.0,0.593,14286.0,0.178,14286.0
Denmark,0,2006,Women,40-49,Danish,Higher education,286075.815,113441.0,0.415,117631.0,0.108,117631.0
Denmark,0,2006,Women,40-49,Danish,No higher education,244576.814,228093.0,0.631,237435.0,0.148,237435.0
Denmark,0,2006,Women,40-49,Immigrants and descendants,Higher education,250716.39,6369.0,0.401,6789.0,0.115,6789.0
Denmark,0,2006,Women,40-49,Immigrants and descendants,No higher education,197102.763,13055.0,0.596,13370.0,0.156,13370.0
Denmark,0,2006,Women,40-49,Non-western immigrants and descendants,Higher education,280234.878,226860.0,0.444,3291.0,0.122,3291.0
Denmark,0,2006,Women,40-49,Non-western immigrants and descendants,No higher education,182929.308,9519.0,0.618,9583.0,0.166,9583.0
Denmark,0,2006,Women,50-59,Danish,Higher education,227415.483,8591.0,0.663,102538.0,0.139,102538.0
Denmark,0,2006,Women,50-59,Danish,No higher education,347563.416,98256.0,0.938,235705.0,0.189,235705.0
Denmark,0,2006,Women,50-59,Immigrants and descendants,Higher education,190721.331,4411.0,0.662,5385.0,0.141,5385.0
Denmark,0,2006,Women,50-59,Immigrants and descendants,No higher education,296950.815,5040.0,0.905,8814.0,0.178,8814.0
Denmark,0,2006,Women,50-59,Non-western immigrants and descendants,Higher education,218581.134,3147.0,0.579,1676.0,0.147,1676.0
Denmark,0,2006,Women,50-59,Non-western immigrants and descendants,No higher education,236320.347,1592.0,0.874,4414.0,0.176,4414.0
Denmark,0,2006,Women,60-65,Danish,Higher education,344546.059,38212.0,1.728,84810.0,0.27,84810.0
Denmark,0,2006,Women,60-65,Danish,No higher education,241942.411,154654.0,2.46,493929.0,0.354,493929.0
Denmark,0,2006,Women,60-65,Immigrants and descendants,Higher education,329533.665,2083.0,1.708,4856.0,0.28,4856.0
Denmark,0,2006,Women,60-65,Immigrants and descendants,No higher education,222816.969,3804.0,2.41,12427.0,0.357,12427.0
Denmark,0,2006,Women,60-65,Non-western immigrants and descendants,Higher education,243896.564,436.0,1.724,830.0,0.311,830.0
Denmark,0,2006,Women,60-65,Non-western immigrants and descendants,No higher education,172265.206,1168.0,2.068,2193.0,0.316,2193.0
Denmark,0,2007,Men,18-29,Danish,Higher education,,,0.162,29491.0,0.047,29491.0
Denmark,0,2007,Men,18-29,Danish,No higher education,,,0.279,294603.0,0.08,294603.0
Denmark,0,2007,Men,18-29,Immigrants and descendants,Higher education,,,0.098,2718.0,0.032,2718.0
Denmark,0,2007,Men,18-29,Immigrants and descendants,No higher education,,,0.285,29309.0,0.083,29309.0
Denmark,0,2007,Men,18-29,Non-western immigrants and descendants,Higher education,,,0.128,1596.0,0.039,1596.0
Denmark,0,2007,Men,18-29,Non-western immigrants and descendants,No higher education,,,0.301,25142.0,0.087,25142.0
Denmark,0,2007,Men,30-39,Danish,Higher education,273644.622,99827.0,0.213,104915.0,0.058,104915.0
Denmark,0,2007,Men,30-39,Danish,No higher education,221245.69,211191.0,0.392,230258.0,0.099,230258.0
Denmark,0,2007,Men,30-39,Immigrants and descendants,Higher education,226624.494,5998.0,0.211,6658.0,0.061,6658.0
Denmark,0,2007,Men,30-39,Immigrants and descendants,No higher education,175455.422,15194.0,0.32,16970.0,0.097,16970.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,Higher education,201868.387,3244.0,0.265,3569.0,0.069,3569.0
Denmark,0,2007,Men,30-39,Non-western immigrants and descendants,No higher education,167882.917,12037.0,0.344,13420.0,0.103,13420.0
Denmark,0,2007,Men,40-49,Danish,Higher education,312872.899,87990.0,0.314,94128.0,0.076,94128.0
Denmark,0,2007,Men,40-49,Danish,No higher education,241481.12,244372.0,0.586,270854.0,0.128,270854.0
Denmark,0,2007,Men,40-49,Immigrants and descendants,Higher education,237497.323,7187.0,0.312,7961.0,0.085,7961.0
Denmark,0,2007,Men,40-49,Immigrants and descendants,No higher education,187139.071,12661.0,0.509,14168.0,0.129,14168.0
Denmark,0,2007,Men,40-49,Non-western immigrants and descendants,Higher education,203223.563,4320.0,0.396,4756.0,0.105,4756.0
Denmark,0,2007,Men,40-49,Non-western immigrants and descendants,No higher education,171322.699,9363.0,0.462,10401.0,0.132,10401.0
Denmark,0,2007,Men,50-59,Danish,Higher education,363387.625,77045.0,0.673,84083.0,0.139,84083.0
Denmark,0,2007,Men,50-59,Danish,No higher education,274392.521,224166.0,1.086,249313.0,0.202,249313.0
Denmark,0,2007,Men,50-59,Immigrants and descendants,Higher education,274362.63,4961.0,0.759,5512.0,0.151,5512.0
Denmark,0,2007,Men,50-59,Immigrants and descendants,No higher education,214532.627,8313.0,0.87,9081.0,0.195,9081.0
Denmark,0,2007,Men,50-59,Non-western immigrants and descendants,Higher education,213412.571,2308.0,0.682,2514.0,0.167,2514.0
Denmark,0,2007,Men,50-59,Non-western immigrants and descendants,No higher education,183484.878,4808.0,0.858,5170.0,0.201,5170.0
Denmark,0,2007,Men,60-65,Danish,Higher education,373862.172,43639.0,1.938,104334.0,0.329,104334.0
Denmark,0,2007,Men,60-65,Danish,No higher education,258569.093,141305.0,2.67,421991.0,0.425,421991.0
Denmark,0,2007,Men,60-65,Immigrants and descendants,Higher education,286054.997,2282.0,1.704,5092.0,0.3,5092.0
Denmark,0,2007,Men,60-65,Immigrants and descendants,No higher education,213392.315,4427.0,2.368,10116.0,0.386,10116.0
Denmark,0,2007,Men,60-65,Non-western immigrants and descendants,Higher education,220901.091,813.0,1.728,1458.0,0.302,1458.0
Denmark,0,2007,Men,60-65,Non-western immigrants and descendants,Higher education,220901.091,813.0,2.232,4314.0,0.302,1458.0
Denmark,0,2007,Men,60-65,Non-western immigrants and descendants,No higher education,173683.723,2097.0,2.232,4314.0,0.383,4314.0
Denmark,0,2007,Men,60-65,Non-western immigrants and descendants,No higher education,173683.723,2097.0,1.728,1458.0,0.383,4314.0
Denmark,0,2007,Women,18-29,Danish,Higher education,,,0.361,44355.0,0.12,44355.0
Denmark,0,2007,Women,18-29,Danish,No higher education,,,0.41,267933.0,0.141,267933.0
Denmark,0,2007,Women,18-29,Immigrants and descendants,Higher education,,,0.24,4152.0,0.091,4152.0
Denmark,0,2007,Women,18-29,Immigrants and descendants,No higher education,,,0.426,29258.0,0.153,29258.0
Denmark,0,2007,Women,18-29,Non-western immigrants and descendants,Higher education,,,0.281,2310.0,0.105,2310.0
Denmark,0,2007,Women,18-29,Non-western immigrants and descendants,No higher education,,,0.462,24452.0,0.162,24452.0
Denmark,0,2007,Women,30-39,Danish,Higher education,261770.901,133896.0,0.411,137549.0,0.138,137549.0
Denmark,0,2007,Women,30-39,Danish,No higher education,216457.622,181340.0,0.597,188231.0,0.174,188231.0
Denmark,0,2007,Women,30-39,Immigrants and descendants,Higher education,179128.746,18279.0,0.416,8726.0,0.141,8726.0
Denmark,0,2007,Women,30-39,Immigrants and descendants,No higher education,239293.855,8240.0,0.554,18667.0,0.173,18667.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,Higher education,219197.023,4279.0,0.488,4452.0,0.159,4452.0
Denmark,0,2007,Women,30-39,Non-western immigrants and descendants,No higher education,171185.521,14879.0,0.592,15039.0,0.184,15039.0
Denmark,0,2007,Women,40-49,Danish,Higher education,287787.308,116711.0,0.424,121257.0,0.11,121257.0
Denmark,0,2007,Women,40-49,Danish,No higher education,246058.073,229080.0,0.643,238676.0,0.152,238676.0
Denmark,0,2007,Women,40-49,Immigrants and descendants,Higher education,256133.204,6643.0,0.451,7090.0,0.128,7090.0
Denmark,0,2007,Women,40-49,Immigrants and descendants,No higher education,200680.163,13846.0,0.572,14138.0,0.149,14138.0
Denmark,0,2007,Women,40-49,Non-western immigrants and descendants,Higher education,282731.594,218609.0,0.492,3495.0,0.144,3495.0
Denmark,0,2007,Women,40-49,Non-western immigrants and descendants,No higher education,186393.537,10250.0,0.525,10313.0,0.153,10313.0
Denmark,0,2007,Women,50-59,Danish,Higher education,226199.188,8925.0,0.656,104946.0,0.138,104946.0
Denmark,0,2007,Women,50-59,Danish,No higher education,345508.116,100426.0,0.939,227099.0,0.191,227099.0
Denmark,0,2007,Women,50-59,Immigrants and descendants,Higher education,195490.024,4827.0,0.676,5481.0,0.15,5481.0
Denmark,0,2007,Women,50-59,Immigrants and descendants,No higher education,296359.078,5132.0,0.788,9175.0,0.175,9175.0
Denmark,0,2007,Women,50-59,Non-western immigrants and descendants,Higher education,225954.494,3342.0,0.715,1796.0,0.167,1796.0
Denmark,0,2007,Women,50-59,Non-western immigrants and descendants,No higher education,239370.892,1711.0,0.819,4830.0,0.185,4830.0
Denmark,0,2007,Women,60-65,Danish,Higher education,345202.981,42224.0,1.646,92401.0,0.268,92401.0
Denmark,0,2007,Women,60-65,Danish,No higher education,246895.956,159056.0,2.381,509094.0,0.358,509094.0
Denmark,0,2007,Women,60-65,Immigrants and descendants,Higher education,311346.368,2259.0,1.652,5281.0,0.271,5281.0
Denmark,0,2007,Women,60-65,Immigrants and descendants,No higher education,226901.504,3928.0,2.39,12832.0,0.355,12832.0
Denmark,0,2007,Women,60-65,Non-western immigrants and descendants,Higher education,236360.274,507.0,1.083,952.0,0.23,952.0
Denmark,0,2007,Women,60-65,Non-western immigrants and descendants,No higher education,171813.099,1265.0,1.655,2416.0,0.276,2416.0
Denmark,0,2008,Men,18-29,Danish,Higher education,,,0.144,29380.0,0.043,29380.0
Denmark,0,2008,Men,18-29,Danish,No higher education,,,0.266,295124.0,0.076,295124.0
Denmark,0,2008,Men,18-29,Immigrants and descendants,Higher education,,,0.164,3146.0,0.045,3146.0
Denmark,0,2008,Men,18-29,Immigrants and descendants,No higher education,,,0.253,30406.0,0.076,30406.0
Denmark,0,2008,Men,18-29,Non-western immigrants and descendants,Higher education,,,0.173,1882.0,0.046,1882.0
Denmark,0,2008,Men,18-29,Non-western immigrants and descendants,No higher education,,,0.258,26185.0,0.08,26185.0
Denmark,0,2008,Men,30-39,Danish,Higher education,268403.128,100132.0,0.195,105960.0,0.053,105960.0
Denmark,0,2008,Men,30-39,Danish,No higher education,218151.75,203153.0,0.365,222990.0,0.093,222990.0
Denmark,0,2008,Men,30-39,Immigrants and descendants,Higher education,226159.164,6296.0,0.183,6963.0,0.053,6963.0
Denmark,0,2008,Men,30-39,Immigrants and descendants,No higher education,175187.486,15231.0,0.329,17246.0,0.093,17246.0
Denmark,0,2008,Men,30-39,Non-western immigrants and descendants,Higher education,206315.377,3402.0,0.253,3739.0,0.068,3739.0
Denmark,0,2008,Men,30-39,Non-western immigrants and descendants,Higher education,206315.377,3402.0,0.253,3739.0,0.068,3739.0
Denmark,0,2008,Men,30-39,Non-western immigrants and descendants,Higher education,206315.377,3402.0,0.253,3739.0,0.068,3739.0
Denmark,0,2008,Men,30-39,Non-western immigrants and descendants,Higher education,206315.377,3402.0,0.253,3739.0,0.068,3739.0
Denmark,0,2008,Men,30-39,Non-western immigrants and descendants,Higher education,206315.377,3402.0,0.253,3739.0,0.068,3739.0
